Date,Return - INFY,Return - IRCTC,Return - TATAELXSI
2022-03-29,0.006457109,0.001761796,-0.053417120
2022-03-30,0.009517471,0.028595639,0.051906700
2022-03-31,0.001523162,-0.018808152,-0.017411682
2022-04-01,-0.001730565,0.030334322,0.008218120
2022-04-04,-0.010821937,0.043222249,0.010872048
2022-04-05,-0.011604119,-0.012429489,-0.014578797
2022-04-06,-0.017328462,-0.036967185,0.001723381
2022-04-07,-0.009760219,-0.005303380,-0.016399406
2022-04-08,0.001987839,0.003300509,-0.007156041
2022-04-11,-0.026479625,0.013981209,0.002987864
2022-04-12,-0.013642465,-0.022211190,-0.034656776
2022-04-13,0.003500874,-0.004211317,-0.003026452
2022-04-18,-0.072717407,-0.016788384,-0.067731771
2022-04-19,-0.036635021,-0.018834739,-0.015711499
2022-04-20,0.016453234,-0.006841613,0.014889908
2022-04-21,0.019588146,0.016118310,0.012314753
2022-04-22,-0.020601740,-0.005857977,0.057459326
2022-04-25,-0.015358400,-0.012711912,-0.041708554
2022-04-26,0.012747437,0.020721583,-0.020856719
2022-04-27,-0.017836781,-0.016490360,0.017660522
2022-04-28,0.019191091,0.011890480,-0.017209958
2022-04-29,-0.009509622,-0.015117523,-0.012430675
2022-05-02,-0.016937290,-0.011327853,-0.009521043
2022-05-04,-0.003536633,-0.021491493,0.013587931
2022-05-05,0.032301113,-0.006166441,0.006391075
2022-05-06,-0.026685202,-0.017638070,-0.040658326
2022-05-09,0.017824157,-0.019586954,-0.037386813
2022-05-10,-0.011048477,-0.017372421,-0.056950676
2022-05-11,-0.016902769,-0.031896905,0.008333671
2022-05-12,-0.011756968,-0.055470938,0.001746089
2022-05-13,-0.002916241,0.050189258,0.145566113
2022-05-16,-0.010170199,0.002991734,0.029733791
2022-05-17,0.019709875,0.044971356,0.009407523
2022-05-18,-0.006091738,-0.016687438,0.029295387
2022-05-19,-0.054366505,-0.025158205,-0.020882491
2022-05-20,0.019619521,0.011300335,0.018265495
2022-05-23,0.009105590,-0.013590034,0.015376064
2022-05-24,-0.018659782,-0.003214659,-0.009874980
2022-05-25,-0.021200589,-0.005682273,-0.039752191
2022-05-26,0.009571414,-0.012433374,0.016875560
2022-05-27,0.026264986,0.020409740,0.009523857
2022-05-30,0.044787405,0.065368937,-0.031210664
2022-05-31,-0.015195227,-0.003524604,0.037688587
2022-06-01,-0.016659968,-0.007002145,0.026834234
2022-06-02,0.019918129,-0.021372510,0.002690029
2022-06-03,0.009084848,-0.011439537,-0.022696393
2022-06-06,0.005487349,-0.011271415,0.031179989
2022-06-07,-0.015261003,-0.004863979,-0.008957929
2022-06-08,-0.004446772,-0.010844716,-0.001090628
2022-06-09,0.010000000,0.002933947,0.009832722
2022-06-10,-0.025214489,-0.007467246,-0.010432873
2022-06-13,-0.035414442,-0.027922127,-0.016378243
2022-06-14,0.011267146,-0.005505485,-0.008892697
2022-06-15,-0.012738258,0.000240635,-0.027078439
2022-06-16,-0.017578400,-0.037298469,-0.020558480
2022-06-17,-0.007085530,-0.009581737,-0.022403910
2022-06-20,0.019354122,-0.033818418,-0.071420799
2022-06-21,0.025280203,0.044579845,0.040903671
2022-06-22,-0.008724756,-0.016754169,-0.007852679
2022-06-23,0.010575718,-0.000508627,0.039473861
2022-06-24,-0.007814366,0.011874470,0.000808969
2022-06-27,0.023246132,0.027661358,0.025306792
2022-06-28,0.003763765,0.011500796,0.005643438
2022-06-29,-0.011417778,-0.030481355,0.018620814
2022-06-30,-0.000922587,-0.041503803,-0.001930078
2022-07-01,0.011970723,0.005206525,-0.002264230
2022-07-04,0.005813151,-0.006560753,-0.008666520
2022-07-05,-0.008098151,-0.007907626,-0.009676505
2022-07-06,0.010637267,0.011298962,-0.003667295
2022-07-07,0.004726261,0.009267341,0.013675929
2022-07-08,0.010509108,0.010898439,-0.011103688
2022-07-11,-0.027270579,0.006621433,0.006611924
2022-07-12,-0.023453177,-0.004469597,-0.010937112
2022-07-13,0.004066436,0.004320183,-0.030987698
2022-07-14,-0.010799942,-0.011977018,0.011431116
2022-07-15,0.001049795,0.009475820,0.033469918
2022-07-18,0.041633201,0.021564482,0.005390381
2022-07-19,-0.003859319,0.006208609,-0.003041677
2022-07-20,0.020988461,0.000658205,0.004257730
2022-07-21,0.011614845,-0.000493378,0.010167862
2022-07-22,-0.017352714,0.003125811,0.023181192
2022-07-25,-0.001792520,-0.017138191,0.017063614
2022-07-26,-0.034882916,-0.005422994,-0.019708371
2022-07-27,0.013713279,0.008220827,0.014363866
2022-07-28,0.031508088,0.002579230,0.009267291
2022-07-29,0.021286363,0.057427346,0.015192734
2022-08-01,0.000871200,0.007534215,0.003515492
2022-08-02,-0.004803245,0.009425125,-0.009041765
2022-08-03,0.014576315,-0.008951289,0.022975648
2022-08-04,0.021582305,-0.004905433,0.013167018
2022-08-05,0.010469404,0.005242529,0.039288958
2022-08-08,0.001701048,0.025142095,0.026491695
2022-08-10,-0.010466884,0.022247569,-0.009806199
2022-08-11,0.010920778,-0.004531008,0.003926480
2022-08-12,-0.015957268,-0.005446895,0.077842576
2022-08-16,0.001474170,0.002550847,0.033311989
2022-08-17,0.006138651,0.005238344,0.010000925
2022-08-18,-0.014505867,0.063277002,-0.006621494
2022-08-19,0.008939022,0.029405586,-0.044789302
2022-08-22,-0.013430563,-0.030810070,-0.034525933
2022-08-23,-0.021102402,0.003438613,-0.017361876
2022-08-24,-0.003176883,0.013077804,0.025185185
2022-08-25,-0.012585350,-0.010078680,-0.020728161
2022-08-26,0.002239584,0.002301289,-0.031853822
2022-08-29,-0.039302058,-0.037361769,-0.051144549
2022-08-30,0.021344246,0.027392328,0.016728994
2022-09-01,-0.019257176,-0.005205785,0.000116396
2022-09-02,-0.007649195,0.007920283,-0.034705033
2022-09-05,0.005712353,-0.002455623,0.019018589
2022-09-06,-0.004242847,-0.003657386,-0.002975303
2022-09-07,0.001752490,-0.002611854,-0.003758570
2022-09-08,0.012520152,0.011819628,-0.005310194
2022-09-09,0.024222508,-0.004196978,0.005749157
2022-09-12,0.016240483,0.013346446,0.007780667
2022-09-13,0.005695873,-0.001871587,0.022936480
2022-09-14,-0.045017592,-0.009861846,-0.019198609
2022-09-15,-0.028873508,0.016132427,-0.003303554
2022-09-16,-0.038909826,-0.029474669,-0.017439036
2022-09-19,0.009622018,-0.015647226,-0.003882961
2022-09-20,-0.001258721,0.020448012,0.023590153
2022-09-21,-0.008138021,-0.008213620,-0.009442154
2022-09-22,-0.006752622,0.000785390,0.019637130
2022-09-23,-0.001827552,-0.021543780,-0.014854407
2022-09-26,0.010838954,-0.031058601,-0.036388865
2022-09-27,0.009635971,0.018284460,-0.023240101
2022-09-28,0.000825160,0.005098577,0.010316142
2022-09-29,0.002832203,0.039553044,0.000730122
2022-09-30,0.010581580,-0.001414427,0.015168663
2022-10-03,-0.013937495,0.000212499,-0.028510678
2022-10-04,0.025578493,0.018551265,0.021269149
2022-10-06,0.018014551,0.016684046,0.010207013
2022-10-07,-0.002714547,0.005470085,-0.003020119
2022-10-10,0.007890073,-0.005508314,0.003994174
2022-10-11,-0.026561361,-0.007658692,-0.008655414
2022-10-12,0.003441426,-0.004547944,-0.017538396
2022-10-13,-0.006159395,0.002492023,-0.005717352
2022-10-14,0.038277326,-0.001726281,0.018369176
2022-10-17,0.010649450,0.007124610,-0.080650403
2022-10-18,0.009228498,0.004326956,-0.074285594
2022-10-19,-0.012136730,0.015933753,0.015205498
2022-10-20,0.010400938,-0.000201890,0.008278390
2022-10-21,-0.000266523,0.001211828,-0.015383599
2022-10-24,0.011562796,0.000336225,0.006610387
2022-10-25,0.005567133,-0.004571073,-0.016814183
2022-10-27,-0.001539735,0.001147996,-0.022723451
2022-10-28,-0.007021196,-0.002495752,-0.021002121
2022-10-31,0.016124252,0.002434390,0.017489382
2022-11-01,0.022989611,0.001416605,-0.005724864
2022-11-02,-0.012523809,0.017783782,-0.001811382
2022-11-03,-0.014517510,-0.005361027,-0.007280547
2022-11-04,-0.010942349,0.009448996,0.002234250
2022-11-07,-0.004326320,0.007119346,0.009901548
2022-11-09,0.002487645,-0.003469072,0.003303945
2022-11-10,-0.006120964,-0.022068950,-0.010543582
2022-11-11,0.045374365,0.004499934,0.005313514
2022-11-14,0.009680959,0.014709816,0.001831239
2022-11-15,0.005487889,-0.023919299,0.003641432
2022-11-16,0.005520733,-0.016877067,-0.007756395
2022-11-17,-0.009608201,-0.002334700,-0.014849511
2022-11-18,0.003779766,-0.011494302,0.007511092
2022-11-21,-0.015815283,-0.003551021,-0.005634859
2022-11-22,0.010744866,-0.000558960,-0.004230026
2022-11-23,-0.001198716,0.009298698,-0.013762068
2022-11-24,0.029466585,0.002424494,-0.016991431
2022-11-25,0.003589382,-0.002556805,0.024409267
2022-11-28,-0.007489377,0.005819609,0.002507393
2022-11-29,0.003480365,-0.003995074,-0.002236326
2022-11-30,0.003621682,0.018257278,0.033693368
2022-12-01,0.013547831,-0.005772888,0.008758589
2022-12-02,-0.011586478,-0.002527544,-0.005331105
2022-12-05,0.001129480,-0.001369675,-0.010314303
2022-12-06,-0.016374433,-0.017350109,-0.011025081
2022-12-07,-0.004588024,0.001186372,-0.006964727
2022-12-08,0.009124898,0.004670342,-0.000928825
2022-12-09,-0.031385967,0.002081454,-0.012385909
2022-12-12,-0.014082774,0.002423319,-0.007930919
2022-12-13,0.016125953,-0.001450543,-0.008913281
2022-12-14,0.004611519,0.016670192,-0.001718768
2022-12-15,-0.024629621,-0.062389488,-0.010700492
2022-12-16,-0.011879292,-0.024526470,-0.018464692
2022-12-19,-0.009755601,0.006918045,-0.011836267
2022-12-20,-0.000033122,-0.003915432,-0.006146382
2022-12-21,0.001492735,-0.030557050,-0.017682211
2022-12-22,0.008280613,-0.019279284,-0.024473655
2022-12-23,-0.016392413,-0.052578222,-0.035234963
2022-12-26,0.003540210,0.024372150,0.071099390
2022-12-27,0.008286709,0.017763826,0.028627862
2022-12-28,-0.003102586,0.008924379,-0.015485933
2022-12-29,0.004900192,-0.008923698,-0.011947143
2022-12-30,-0.006161311,0.010504738,0.004715172
